dimension,value,model,n,actual_spikes,predicted_spikes,accuracy,precision,recall,f1,tn,fp,fn,tp
date,2025-07-01 00:00:00,Logistic Regression,13,3,5,0.69230769,0.40000000,0.66666667,0.50000000,7,3,1,2
date,2025-08-01 00:00:00,Logistic Regression,13,1,5,0.69230769,0.20000000,1.00000000,0.33333333,8,4,0,1
date,2025-09-01 00:00:00,Logistic Regression,13,2,5,0.76923077,0.40000000,1.00000000,0.57142857,8,3,0,2
date,2025-10-01 00:00:00,Logistic Regression,13,0,5,0.61538462,0.00000000,0.00000000,0.00000000,8,5,0,0
date,2025-11-01 00:00:00,Logistic Regression,13,1,4,0.76923077,0.25000000,1.00000000,0.40000000,9,3,0,1
date,2025-12-01 00:00:00,Logistic Regression,13,2,5,0.61538462,0.20000000,0.50000000,0.28571429,7,4,1,1
date,2026-01-01 00:00:00,Logistic Regression,13,2,5,0.61538462,0.20000000,0.50000000,0.28571429,7,4,1,1
date,2026-02-01 00:00:00,Logistic Regression,13,1,5,0.69230769,0.20000000,1.00000000,0.33333333,8,4,0,1
date,2025-03-01 00:00:00,No spike,13,3,0,0.76923077,0.00000000,0.00000000,0.00000000,10,0,3,0
date,2025-04-01 00:00:00,No spike,13,6,0,0.53846154,0.00000000,0.00000000,0.00000000,7,0,6,0
date,2025-05-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2025-06-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2025-07-01 00:00:00,No spike,13,3,0,0.76923077,0.00000000,0.00000000,0.00000000,10,0,3,0
date,2025-08-01 00:00:00,No spike,13,1,0,0.92307692,0.00000000,0.00000000,0.00000000,12,0,1,0
date,2025-09-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2025-10-01 00:00:00,No spike,13,0,0,1.00000000,0.00000000,0.00000000,0.00000000,13,0,0,0
date,2025-11-01 00:00:00,No spike,13,1,0,0.92307692,0.00000000,0.00000000,0.00000000,12,0,1,0
date,2025-12-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2026-01-01 00:00:00,No spike,13,2,0,0.84615385,0.00000000,0.00000000,0.00000000,11,0,2,0
date,2026-02-01 00:00:00,No spike,13,1,0,0.92307692,0.00000000,0.00000000,0.00000000,12,0,1,0
date,2025-03-01 00:00:00,Persistence,13,3,1,0.69230769,0.00000000,0.00000000,0.00000000,9,1,3,0
date,2025-04-01 00:00:00,Persistence,13,6,3,0.76923077,1.00000000,0.50000000,0.66666667,7,0,3,3
date,2025-05-01 00:00:00,Persistence,13,2,6,0.69230769,0.33333333,1.00000000,0.50000000,7,4,0,2
date,2025-06-01 00:00:00,Persistence,13,2,2,0.84615385,0.50000000,0.50000000,0.50000000,10,1,1,1
date,2025-07-01 00:00:00,Persistence,13,3,2,0.76923077,0.50000000,0.33333333,0.40000000,9,1,2,1
date,2025-08-01 00:00:00,Persistence,13,1,3,0.84615385,0.33333333,1.00000000,0.50000000,10,2,0,1
date,2025-09-01 00:00:00,Persistence,13,2,1,0.76923077,0.00000000,0.00000000,0.00000000,10,1,2,0
date,2025-10-01 00:00:00,Persistence,13,0,2,0.84615385,0.00000000,0.00000000,0.00000000,11,2,0,0
date,2025-11-01 00:00:00,Persistence,13,1,0,0.92307692,0.00000000,0.00000000,0.00000000,12,0,1,0
date,2025-12-01 00:00:00,Persistence,13,2,1,0.92307692,1.00000000,0.50000000,0.66666667,11,0,1,1
date,2026-01-01 00:00:00,Persistence,13,2,2,1.00000000,1.00000000,1.00000000,1.00000000,11,0,0,2
date,2026-02-01 00:00:00,Persistence,13,1,2,0.92307692,0.50000000,1.00000000,0.66666667,11,1,0,1
date,2025-03-01 00:00:00,Random Forest,13,3,6,0.76923077,0.50000000,1.00000000,0.66666667,7,3,0,3
date,2025-04-01 00:00:00,Random Forest,13,6,5,0.92307692,1.00000000,0.83333333,0.90909091,7,0,1,5
date,2025-05-01 00:00:00,Random Forest,13,2,6,0.69230769,0.33333333,1.00000000,0.50000000,7,4,0,2
date,2025-06-01 00:00:00,Random Forest,13,2,6,0.69230769,0.33333333,1.00000000,0.50000000,7,4,0,2
date,2025-07-01 00:00:00,Random Forest,13,3,5,0.84615385,0.60000000,1.00000000,0.75000000,8,2,0,3
date,2025-08-01 00:00:00,Random Forest,13,1,5,0.69230769,0.20000000,1.00000000,0.33333333,8,4,0,1
date,2025-09-01 00:00:00,Random Forest,13,2,4,0.53846154,0.00000000,0.00000000,0.00000000,7,4,2,0
date,2025-10-01 00:00:00,Random Forest,13,0,5,0.61538462,0.00000000,0.00000000,0.00000000,8,5,0,0
date,2025-11-01 00:00:00,Random Forest,13,1,6,0.61538462,0.16666667,1.00000000,0.28571429,7,5,0,1
date,2025-12-01 00:00:00,Random Forest,13,2,7,0.61538462,0.28571429,1.00000000,0.44444444,6,5,0,2
date,2026-01-01 00:00:00,Random Forest,13,2,7,0.61538462,0.28571429,1.00000000,0.44444444,6,5,0,2
date,2026-02-01 00:00:00,Random Forest,13,1,6,0.61538462,0.16666667,1.00000000,0.28571429,7,5,0,1
