code,group_en,months,mean_monthly_change,sd_monthly_change,max_monthly_change
011319,"Other fish, live, fresh, chilled, or frozen",39,4.85975099,35.06297364,183.75719427
01131,"Fish, live, fresh, chilled, or frozen",39,4.85975099,35.06297364,183.75719427
011714,Lettuce and chicory,39,3.60910480,34.65884912,190.45379137
011119.2,Crushed green wheat,39,3.57750415,33.81498392,138.18897638
01115,"Macaroni, noodles, couscous and similar pasta products",39,4.83605948,33.11641455,121.78720494
0117.1,Fresh vegetables,39,7.94263113,33.09497537,127.14829751
011,FOOD,39,6.04455882,32.09070625,92.38337289
011722,Cucumbers and gherkins,39,7.15315649,32.00083924,116.84048005
01145,Cheese,39,5.17076674,31.73337858,158.34614930
01,FOOD AND NON-ALCOHOLIC BEVERAGES,39,5.87937544,31.41992228,91.13649179
011731,"Beans, green",39,7.22236762,31.41179573,131.10281427
01194,"Spices, culinary herbs and seeds",39,5.57389150,30.21918656,103.22957222
011940,"Spices, culinary herbs and seeds",39,5.57389150,30.21918656,103.22957222
01173,"Green leguminous vegetables, fresh or chilled",39,6.55330348,29.36174106,109.24712507
011513,Olive oil,39,3.77848175,29.11441574,127.41116751
073,PASSENGER TRANSPORT SERVICES,39,3.25996444,28.64130080,167.51557691
0122,Coffee and coffee substitutes,39,5.31743096,28.62518618,113.59201942
012201,Coffee,39,5.31743096,28.62518618,113.59201942
01174,"Other vegetables, fresh or chilled",39,5.99991865,28.41221024,119.53656154
0124,Water,39,4.68708258,27.28745822,110.52631579
012500,Water,39,4.68708258,27.28745822,110.52631579
07,TRANSPORT,39,4.62903816,25.62239783,114.09791775
011923,Homogenized baby food,39,5.65230418,25.03662714,94.80519481
0999,Consumer Price Index,39,5.54098763,24.36315205,75.59051422
011921,Baby formula,39,3.89519117,24.33090315,57.95454545
011112,Rice,39,2.64378622,23.68297571,70.98512223
012,NON-ALCOHOLIC BEVERAGES,39,3.99989245,23.65720894,86.69541175
01111,Cereals,39,2.63135222,23.35897696,68.33680817
01192,Baby food,39,4.03439539,22.86411218,57.95454545
0119,Ready-made food and other food products,39,3.91402208,22.75576814,71.04395419
011221.1,Fresh bovine meat,39,5.54813095,22.44233979,60.09219625
0112.1.1,Fresh meat,39,5.51850472,22.40467127,60.09219625
011223.1,Fresh gat meat,39,5.08796207,21.90621506,60.09219625
01143,Other milk and cream,39,1.49435992,19.06646051,74.60317460
011432,Powdered milk,39,1.49435992,19.06646051,74.60317460
011139.4,Biscuits,39,2.90819107,16.62250627,100.00000000
0441,Water supply,39,3.54212381,16.52448969,95.73464348
04411,Water supply through network systems,39,3.54212381,16.52448969,95.73464348
011139,Other bakery products,39,2.14264525,12.95473123,64.65312633
